S.NO.,PS CATEGORY,problem statement title,Domain Bucket
1,Software,AI Based - Designing of Assistive portal for Stakeholders in Approval Process,Miscellaneous
2,Software,AI Based - Designing of Assistive portal for Stakeholders in Approval Process,Miscellaneous
3,Software,AI Based - Designing of Assistive portal for Stakeholders in Approval Process,Miscellaneous
4,Software,AI Based - Designing of Assistive portal for Stakeholders in Approval Process,Miscellaneous
5,Software,AI Based - Designing of Assistive portal for Stakeholders in Approval Process,Miscellaneous
6,Software,Integration of Multiple Databases of AICTE in order to fetch Coherent Information,Miscellaneous
7,Software,Integration of Multiple Databases of AICTE in order to fetch Coherent Information,Miscellaneous
8,Software,Integration of Multiple Databases of AICTE in order to fetch Coherent Information,Miscellaneous
9,Software,Integration of Multiple Databases of AICTE in order to fetch Coherent Information,Miscellaneous
10,Software,Integration of Multiple Databases of AICTE in order to fetch Coherent Information,Miscellaneous
11,Software,Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,Smart Automation
12,Software,Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,Smart Automation
13,Software,Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,Smart Automation
14,Software,Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,Smart Automation
15,Software,Integration of AI for Adaptive Learning for MCQ Selection in PARAKH,Smart Automation
16,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
17,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
18,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
19,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
20,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
21,Software,Cybersecurity Portal for Effective Management of Servers and Firewalls,Blockchain & Cybersecurity
22,Software,Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,Miscellaneous
23,Software,Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,Miscellaneous
24,Software,Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,Miscellaneous
25,Software,Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,Miscellaneous
26,Software,Establishing a Server log system for E-governance with appropriate notification and content based classification of log AICTE,Miscellaneous
27,Software,Design and Develop a personalized online meeting system for AICTE,Blockchain & Cybersecurity
28,Software,Design and Develop a personalized online meeting system for AICTE,Blockchain & Cybersecurity
29,Software,Design and Develop a personalized online meeting system for AICTE,Blockchain & Cybersecurity
30,Software,Design and Develop a personalized online meeting system for AICTE,Blockchain & Cybersecurity
31,Software,Design and Develop a personalized online meeting system for AICTE,Blockchain & Cybersecurity
32,Software,A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,Miscellaneous
33,Software,A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,Miscellaneous
34,Software,A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,Miscellaneous
35,Software,A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,Miscellaneous
36,Software,A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,Miscellaneous
37,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
38,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
39,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
40,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
41,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
42,Software,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,Smart Automation
48,Software,Student Innovation,Smart Education
49,Software,Student Innovation,Smart Education
50,Software,Student Innovation,Smart Education
51,Software,Student Innovation,Smart Education
